seller,product_category,rating,text,date
Lowes,Beauty,5.0,"I'm gonna give you the begginers outlook. I am only on day 3. I've done kick boxing and football so I'm not out of shape in the sense of not working out. I've had 3 knee surgeries and have fractured my ankle on my dominant (right) side. My dad is a pastor and a physical therapist healing hands I guess is why he toon that route. Anyway so I always got in homehelp but my body has gotten stiff over the years with cartledge and joint discomfort. We are talking complete subluxation (dislocation) of my knee caps from the sockets. So when I say I feel it in my quads, my hams, and my knees you better believe it. I don't know how well it's gonna play out but we will see. I'm 300 pounds 6'3 and I ain't obese theres a tone of muscle  on me due to I got into weight lifting. Yes I know it's not great on my knees to add weight but I'm trying to build my legs as well. So far Tai cheng has proven to be the hardest leg workout I've done thus far. I also enjoy it he talks to you not at you which is hard considering he's on TV not in person. My dad has seen the visa and if you're wondering if Dr. Cheng knows his stuff take in consideration NY dad a physical therapist for 20+ years said it's simple but effective since it's trying to make your body work naturally.",2025-06-11
HomeDepot,Sports,5.0,"Lee Child hits the bull's-eye and forces the reader into a dramatic turn of events.  The story follows the story of the grandfather, Father, the grandson, and the grandson's mother.  A detailed account of the life of the grandfather, Father, and the grandson's mother is told.  The story is well researched and the story is told with an eye to detail.  I highly recommend this book.I was not disappointed.  I have always been a fan of Robert Langdon's books, but the series has been really lacking since I was a kid.  This series has always been a little different from the others, but it's still one of the best I've read in a",2025-05-29
Newegg,Electronics,4.0,"My 1 year old baby loves it,it is a little bit short as many reviews has said but still interesting",2025-03-05
HomeDepot,Beauty,4.0,I haven't read much Stephen King but I really enjoyed the Shining.  It has been referenced so much in pop culture and has influenced so many works it was great to finally read it.,2025-03-19
Lowes,Automotive,5.0,"These get 5 stars, I use it everyday. It is very comfortable and my hands are warm and warm. If you are a yoga teacher or a beginner, you may be disappointed in this product. It is great for beginners. I would recommend it. I bought this for my husband for his birthday. He's a huge fan of the military-style tactical gear and wanted something more traditional for his military-style military gear. The metal is solid and a good quality piece of material.",2025-05-19
Costco,Sports,5.0,My new kittens just love this toy and the dogs love it.  My 2 cats are pretty picky so I had to get a treat to get them to eat.  I will definitely buy again.  It's a little pricey for one cat but I don't have to worry about getting a treat as they love the flavor.  They are very picky so I like the taste of the treat.  I highly recommend it to any cat owner!Love this product.  It's very easy to use.  The smaller size fits my 60 pound dog perfectly.,2025-07-27
HomeDepot,Automotive,2.0,"I'm a perfectionist, in all I do and in my work; I expect the same pride in workmanship and design as I put into my own designs and products...

This cheap, thin, tin-like metal has no substance to it at all; its tantamount to a polished tin can. The 'anti spill' ring (atop the bowl) is too large for small breeds such as my 20 pound Shih-Tzu.  It arrived with the rubber, anti-slide/anti-skid, gasket detached, it falls off very easily and is nearly impossible to replace without stretching it, which totally defeats its purpose, in that it falls off almost every time you pick it up.

There is a hollow space under the anti spill, upper rim, that is impossible to keep clean.  Having no instructions, enclosed, who could possibly know that upper anti spill rim is designed to come off?  Good luck managing that feat and be careful not to pinch your skin both wrestling it off and getting it back on.  Having shopped finer boating and camping stores, I found this is a really bad knock off of the ones I have found since.

My really good dog food bowls are stainless steel, incredibly heavy and have lasted 3 lifetimes (dog lives) they cost a small fortune when I bought them 20 years ago, but were more than worth it.  I was looking for comparable water bowls when giving this a try; and it is not even close to being close.

Unless you only need this for the boat or camper for a week or two and a few weekends a year...  Do yourself a favor and buy heavy duty, stainless steel and don't have names put on (unless removable).  Spend the money once and never again.  My twenty year old bowls look brand new, even after 20 years of dishwasher abuse.  Whereas, my week old Indipets bowl is ALREADY scratched, falling apart and has pinched my finger so hard I still have a huge blood blister on my finger..",2025-05-31
Amazon,Beauty,5.0,"I was given this book in exchange for an honest review.

I really enjoyed this book. It was well written and I liked how the characters were developed. I was very impressed with the writing style and the characters. I would recommend it.I really enjoyed this book. The first book was a great read. I read it in one sitting and couldn't put it down. I liked the characters, the story, the setting and the characters. I loved the way the story went on. I loved the characters, the story, the characters. I liked how the author took a story from the beginning to the end. I was a little confused at first, but I found it very entertaining.I'm a huge fan of the M/M genre.  I've read all of the 3 books in this series, and I have no problem recommending this series to anyone who is looking for a well written, well-paced, and well-written read.  I'm not going to say anything about the other books in this series, but I'll tell you this:  The last book was a bit of a shock, and I was very disappointed.  The other books were very good, but the story was lacking.  The main character, Daisy, is a very good-looking, sweet, determined, independent woman who had a hard time with her mother.  She's a sweetheart and a strong woman, but she's also a great friend.  She's also a beautiful, determined woman, but her heart is a bit broken.  She's trying to figure out how to get through this tough time, but she doesn't know what to do with it",2025-05-20
Walmart,Home_Kitchen,1.0,"Customer service/warranty from this company is non exsistant. I have the largest one of these bowls and the stem on the bottom broke which then would not allow the water to flow up through the machine thus defeating the purpose and rendering it trash. I called customer service and they refused to replace it and told me to buy a new dome (the whole part that holds the water) for $59! More than the whole machine! I was then forced to glue it. Like other reviews have said, the dome leaks also. If you flip it over (right side up) after filling it any where but over the bowl, you will get a huge mess. The power plug gets extremely hot which is a safety hazard. Where the water flows down the side at the top, there are slits under the gray ring which allow the water to roll down the dome...you cant get to those very easy for cleaning and they become black with mold fairly fast (pretty nasty). If you have hard water, forget it because it will never come clean. I was very very disappointed with this and even more with the companies lack of care in their product especially since I have owned older models for my cats in the past.",2025-06-28
Newegg,Home_Kitchen,5.0,"I'm so in love with this book, I'd recommend it to anyone who enjoys the paranormal genre",2025-05-09
Walmart,Books,5.0,I love my gnome. The gnome has held up well outside in the wind and snow.,2025-04-12
Amazon,Books,5.0,"Perfect fit, great price.  Revived the helmet to functional use.  Beats buying a new helmet when the helmet is in excellent condition.",2025-07-18
Walmart,Beauty,5.0,"We purchased two sets of this set and they look just like the picture.  I am very pleased with them.  The plastic parts are very sturdy, and the cover is very sturdy.  They are still very attractive, and I think they are going to last a long time.  I would definitely buy these again!They are a great addition to any kitchen.  I love that they are made of silicone and that they are made of silicone.  It's very easy to wash and dry them",2025-07-26
Target,Books,4.0,great backpack lots of space and a nice quality.Very good quality.Nice bag.Very pretty.,2025-04-30
Newegg,Beauty,3.0,"Sorry to see this product was made in China. After the discovery of the bad dog food from China in addition to other things (lead paint in children's toys), I don't feel completely confident that these treats are not harmful.",2025-04-04
MicroCenter,Beauty,4.0,"Good quality and perfect size of 40"" for my Ruger M77 compact rifle that's 36"". Heavy zipper, extra cargo pockets and a Ruger logo to match my rifle. I thought that all of Allen's cases were made in the USA, but this one has a ""Made in China"" tag sewn into it. I'm docking one star for not being American made. Still, it's a nice durable case.",2025-07-10
Target,Automotive,4.0,"Good Value, chuggington trains can go on the track and make a great gift for a",2025-07-15
Lowes,Sports,5.0,"Our 3 & 1/2 year old have been using them for a month now and have been using them to make homemade Biscuit Chicken, Biscuit Rolls, and other kinds of sandwiches. They are great for baking, which is always a challenge. They are very sturdy and the rubber seal is great for holding the eggs and nuts. I am very happy with this purchase. I would buy them again. I am very pleased with this purchase. I love these bowls! They are so easy to clean, no need for a sponge for it to stay dry. I use them to pour coffee beans or tea into bowls, it doesn't matter if you have a hot water pitcher or a hot water pitcher. I love the color, the color is not as bright as I was expecting it to be, but I really like the color of the bowls. I love the fact that the bowls have a handle that doesn't slide off the bottom of the bowl. This allows you to just pour coffee or tea into the bowl with ease. I don't like that I have to push the handle to push out the water and it keeps the water from getting too hot.",2025-05-21
Amazon,Home_Kitchen,4.0,This is s very enjoyable read . I couldn't put it down. A bit of history combined with modern day interest.  A love a strange love affair that works.,2025-04-24
MicroCenter,Electronics,5.0,My favorite Star Trek of all.  Not one bad season in the bunch,2025-05-24
Target,Clothing,4.0,"Great little space saving computer, Hard Drive did fail a little over a month out of warranty - have replaced with SSD and all is well.

First Apple product in 20 years of purchasing Apple stuff I've ever had an issue with.
Besides that, super quiet(is basically a laptop motherboard without a screen), low power consumption and more than powerful enough for office use.",2025-07-25
MicroCenter,Home_Kitchen,5.0,Cannot the difference between this and a professional quality product. works great. Nice little speaker.,2025-06-16
Walmart,Books,5.0,"Dear Amazon Shopper,

The bottom line is this is an excellent product for the money.  I have one in my basement and the other in a garage.  The plastic is solid and strong and the coating is well made.  The only negative is that the mesh flap is a little short for the rubber hose.  I have to leave it in the car and it goes out of the way.  I would buy again.I used this to hold my rifle and a shotgun in a bag on the patio of my house. The netting was very nice and easy to install. I was able to keep it and put it in my closet without it getting in the way. It is a very good product for the price. I would recommend it for any hunting situation.I like the color and quality. I wish they had the color logo on the back of the bag. I received this product at a discount in exchange for my honest and unbiased review. I would recommend this product for anyone who is looking for a great quality bag. I have been using this bag for a few months now and I am very pleased with how it holds up. I would recommend this bag for anyone looking for a bag that will hold up to a lot of use.I like this little item.  I just bought a small plastic cap, and it fits perfect.  I love that the handle is adjustable.  It looks great and is very comfortable.  It is very lightweight, and I would definitely buy another one.  I would recommend this to anyone looking for",2025-07-08
Costco,Beauty,4.0,"A very long book of some interesting and thought provoking thoughts.

If you have been following the story from the beginning, you will love this book!

This is a great book to read and look at in a few years.I read this book to my two year old daughter and it's a very good book. I love the fact that it is a classic and the",2025-06-30
Amazon,Books,5.0,"Been running strong for 2 years now, quieter than my last one, and definitely more power.  More affordable than anything in the big box stores of this size as well.",2025-07-23
Walmart,Sports,5.0,"Writing about the effects of the curse of the Scottish play in Stratford upon Avondale, Monica Knightly manages to make murder fun. Or at least solving it. A fast pace, strong protagonist and a slew (yes, slew) of friends and coconspirators combine with intelligent but not boring language make for a great weekend or vacation read.",2025-03-25
Costco,Books,1.0,My dog is a hard chewer and she loves these treats.  These treats are a treat to give her.  The only thing I can say is that she does not like these treats.  I have been giving her a few of these for her and she still likes them.  I have to admit that I do not want her to be able to chew on them.  They are just a treat to give to her and she loves them.  I have been giving her these for about a month now,2025-07-30
HomeDepot,Sports,5.0,"I recently lost my Contigo mug like this and started using a random back-up mug I already had laying around the kitchen. After a few days, I noticed that I'd finished my coffee hours earlier than usual every single morning with the back-up mug. Normally I sip on my coffee until it's nearly lunchtime, but now I was finishing it on my morning commute.

The next morning I was thinking about this and realized exactly what the cause was: My Contigo mug kept my coffee so hot that I could not take big gulps of it and it took me until 11 am to get through it. The back-up mug cooled so quickly that I was gulping my coffee by the time I got in the car.

After less than a week I ordered a new Contigo and I will be a customer for life now.

This mug will keep your coffee pipingly, tongue-burningly hot for hours when sealed. Like others have said, I actually leave the lid off for a couple of minutes after I pour and blow on it to bring it down to a drinkable temperature because I know once I seal the lid it's staying that hot. The more of the coffee you drink the more it will start to lose its heat (because you're replacing hot coffee with room-temperature air with every sip, which is cooling the remaining coffee). But the cooling happens slowly enough that the only time the liquid inside of it really gets *cold* is when the cup is less than half full and the snap lid is open, which is letting a lot of air circulate inside the cup. If you leave it full, it will stay *hot*--not warm--for 7 hours.",2025-06-06
Newegg,Electronics,5.0,"When the SHTF the MRE's I bought will be used.  For now they are in a secure area...waiting...all ""preppers"" need to pay attention.",2025-05-05
Amazon,Beauty,5.0,Big hit with the boys' shirts. The quality is good but the waist is a little short.Great quality and fit. The front part is,2025-08-06
Walmart,Books,3.0,"Silly me, I figured that after so many reviewers' complaints about  Hutch being stuck behind a desk in the last couple novels, the author was going to make his (and Priscilla's) many fans happy by writing a story of her early years.  Made sense to me, as it seemed an easy way to get our favorite female star ship pilot back in the pilot's seat and give us an exciting and engrossing story, like the first awesome books in this series.

But no, I was wrong.  As soon as Hutch graduates and receives her pilot's license, the author puts her...wait for it...behind a desk.  Really?  I waited 2 years and paid $11 so I could see her behind a desk again?  Oh, sure enough, later on she does get to fly again, but not as the ""pilot in charge"" and she never gets to do anything even remotely interesting, much less daring or exciting.  For the most part, any time she's flying it's under the command of someone else, and it's the someone else that makes the decisions comes up with the solutions to the problems of the day.  Hutch's presence adds virtually nothing to the story; it would be the same if Joe the no-name boring starship pilot took her place.

Let's try to be clear: Mr. McDevitt - We LOVE the old Hutch, the one in the pilot's seat.  The one who explored strange new worlds, who made decisions, who took risks; the one without whom all would be lost.  PLEASE bring her back.  I think if you write one more ""Hutch behind a desk"" story I may have to give up on you.",2025-06-14
Amazon,Sports,5.0,"Thank you Amazon reviewers! I use it everyday. It is a great product for the price!I am a big fan of the plastic ones.  The plastic ones are so great, and the color is beautiful.  I love how they are made.  I use them to make my salad and a salad dressings.  I also make my own salad dressing with them.  They are very cute and I am very happy with my purchase.I love this pan. I have been using it for a month now and the pan has kept its shape. I haven't had any problems with it breaking, but I like that it doesn't fall off the pan. It is a bit difficult to clean as it's got a huge ""top"" and I can't really see how it will do that with the other one. It also seems to be good quality. I would recommend this pan to anyone.Works as advertised.This is my second set of glasses, and I really like them.  The first set of glasses were about $80, and the second set is about $100.  The quality of these glasses is excellent, and the",2025-03-30
Costco,Books,5.0,"Using as a timer for a number of years, these are a nice little light.",2025-05-01
Newegg,Sports,4.0,"Really a neat bag to carry all kinds of stuff. It is totally soft sided & collapsible-also alot roomier than you'd expect. However, the bottom is also just soft canvas & if you're carrying a netbook/laptop you will need to protect them by adding padding to the bottom or carrying them in some other casing. Also the center compartment is not stitched to the bottom, so anything in those two compartments will travel around the bottom of the bag. I think that area was designed as a holder for paperwork, but you can reinforce it by just stitching it down to the bottom seam. I really liked the bag so I added some stiff padding to the bottom to protect my netbook and give the bag a little sturdier footing for when it's set down vs. just letting everything flop around the bottom of the bag. All things considered, for the price-it's a keeper. Looks durable,very roomy, easy to store & just a neat bag to have.",2025-06-21
Target,Automotive,5.0,These shoes are lightweight yet provide a more dressy look. I can wear them for long periods of time and walk comfortably. I would recommend them for women who are trying to wear more heels but don't want the discomfort of a v-shaped front shoe.,2025-04-17
MicroCenter,Beauty,5.0,"Not really what I expected - far more into the sci-fi/fantasy realm than I was anticipating, having never read Neil Gaiman before. I did really enjoy the book. Nice vivid descriptions, imaginative story. I was really wondering how the boy was ever going to escape from the evil nanny!",2025-04-21
HomeDepot,Beauty,5.0,I was concerned about how secure this would be holding my pots up but it hasn't had a problem yet. It fits perfectly in the small space I have. I can easily access each pan or pot I need without too much of a problem. The couple of hook on the back are a little difficult to get to but I put items there that I hardly use anyway.,2025-04-15
HomeDepot,Home_Kitchen,1.0,"Driver disk has no drivers.
Win111 disk installs but fails to find the network usb stick on any USB port in the system.
And I wasted overnight mailing from Amazon.",2025-02-18
Costco,Sports,4.0,"I usually wear a size 36 x 34 in all my jeans regardless of brand, so I ordered accordingly for the Silver Zac jeans. While trying to find my size, I discovered that Silver's official website offers a generic sizing chart, but trying to estimate my exact size was difficult based on the limited information. Anyway, my new 36 x 34 Silver jeans arrived from Amazon and were exactly what I had in mind in terms of color and style. (These jeans look exactly as they do in the pictures on Amazon). However, I immediately noticed after trying them on that these jeans were way too large on me--in the waist, thigh, and leg. I checked the tag and noticed that the jeans are made from 99% cotton and 1% elastane, which means there is a slight amount of stretch in the material. Not necessarily a bad thing, but it certainly made the jeans feel overly baggy. I ordered another pair exactly like the first, but in size 34 x 34. Amazon sent the replacement pair in a scant three days! The new jeans fit perfectly, look great, and are not too tight. Also, the inseam length (34) was appropriate with other 34 inseamed jeans that I wear. If you are looking for a pair of trendy jeans, these are perfect. Just make sure to go down one full size in order to achieve the optimal fit.",2025-05-05
Costco,Clothing,5.0,Great book.  Love this author and will continue to support her work.,2025-04-28
Lowes,Electronics,5.0,Have used at many meetings and no issues at all.,2025-06-16
Newegg,Home_Kitchen,5.0,"I'm very happy with the Aeternum pots and pans. Excellent non-stick surface that cleans up easily with just water. I think they work as well as much more expensive pots and pans, so great performance for the price. I bought this one as an addition to the one that came with the set, because it's the most useful size and I decided that I wanted 2 this size for my cooking.",2025-02-24
Lowes,Electronics,5.0,Everything I needed to setup was an AC outlet and a USB power supply.  I was pretty careful with the extra screws and the power,2025-07-30
Amazon,Home_Kitchen,5.0,"I have tried several cases and this one does the job.

The only reason I gave it 4 stars is that the plastic parts are too small to fit comfortably inside the case. The case is made of plastic and the plastic part on the bottom is very soft. If you have a small case with a soft case the case will not fit.

If you are planning to use this case for a security camera or computer it is probably best to stick with the very soft plastic part on the bottom of the case. The plastic part inside the case is very soft and is very durable.

The case is made of leather and it has",2025-03-01
Amazon,Books,5.0,"The questions I had about this product before I received it were: is it actually waterproof or just water resistant? Is it durable? Would the material crack? Well, it really is waterproof. It uses two very heavy-duty Ziploc type strips to seal the pouch and a very strong Velcro type strip to hold the flap down so the Ziploc type strips are not allowed to open. The material is soft, flexible, durable, and not likely to crack. So, if you must bring stuff with you and you don't want them getting wet, this is a good choice.
I received a complimentary sample for a fair review.",2025-03-27
HomeDepot,Sports,5.0,"Beautiful! The item arrived swiftly and has arrived with a very good seal. Nice, sturdy, and functional. Great for the price. Not too big or too small. The only thing I would change is that the carpet is very thick.",2025-05-29
Walmart,Books,5.0,"great, I also coated it with an alcohol paint to make it a little more uniform.

",2025-05-08
MicroCenter,Electronics,5.0,"I read this book and I really enjoyed it. A poignant, memorable, sad, moving and touching story of one of the most tragic events in the state of CT. I enjoyed all the old pictures, the stories, and the memories in this book about the fire. It told of the aftermath also. It was well written and Mr O' NAN spend a lot of time researching material for this great book. If anyone wants to read about this event, then this is the book for you. I bought this in hardcover also for keeps. I enjoyed this book immensely since I am a history buff. It also told about Little Miss 1565, and the trial. Mr. O'Nan goes into great depth about this subject making it easy to understand.",2025-02-22
Lowes,Beauty,5.0,"Sometimes I want a good, short, read, and this one did the trick.  I tried to guess all the way through who the arsonist might be.. I read a lot of suspense and usually have a suspect in mind.  Not so with this book.  The romance between Carlisle and Chet, as well as Mike and Kelly was wholesome and cute.  I loved the sixty-something Violet and her boyfriend with the bat. You can't go wrong with this one.",2025-03-07
BestBuy,Electronics,5.0,"These are very sturdy and well made.

My daughter loves the faces and we use them to practice making faces and telling what they are.

They've been used as hats or balance tools for walking across. So many more uses than I would have thought.",2025-07-19
Walmart,Home_Kitchen,5.0,Great story line. Jet Li played an excellent role. Full of action and comedy.,2025-06-27
Newegg,Electronics,5.0,Every cat I have given these to have so far loved them. They are especially a huge hit with 8-10 week old kittens!,2025-06-01
Amazon,Sports,5.0,cute plates for a birthday party or any occasion. We had extras after my sons' party and the family loved using them when they came over for dinner a few days later!,2025-04-10
Costco,Electronics,2.0,"This bulb works fine, but it in no way, throws yellow colored light.  Buy the yellow ""cork screw"" type bulbs if you REALLY want to keep bugs off your front porch.",2025-03-16
Amazon,Books,2.0,"Sounds like Crichton was using this book as a precursor to an amusement park theme for kids.  Honey, I shrunk the kids.",2025-07-20
MicroCenter,Beauty,5.0,"I just found some interesting material on the internet about this film.  This is a great one.I really enjoyed the film. The script and acting were very good. The acting was very good. I would highly recommend this film to anyone who likes action films.It was good. I love a good family movie. I did not know about the ending. I think the ending was good but I would recommend to anyone who likes action movies.I enjoyed this movie. I love the characters and the acting was very good. The story was very interesting and I liked the story line.I enjoyed this movie and am glad I bought it.  I would not recommend this to anyone who is a fan of this series.  If you are a fan of the original series and want to see a new spin on the series, then this is the series for you.  The premise is pretty simple, the main character is a priest who is trying to save his children from the evils of the world.  He is at first, but then he becomes a true hero, and the story starts to move along. ",2025-04-04
Lowes,Sports,5.0,"the quality of the movies are not as good as in the movies.

The movie has a couple of extra scenes in the beginning.  The movie itself has a great soundtrack and is worth watching.  It's a very good movie.This is one of my favorite series.  It is a great way to start your workout.  The ending is very good.  I will watch again and again.  I can't wait to see what happens next.This is one of the most amazing movies I've ever seen.  I love it and it's great to watch a movie with it's own",2025-07-02
Costco,Electronics,4.0,"We normally play with the&nbsp;<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/Canyon-Cross-Road-High-Grip-Seats-High-Rope-Barrel/dp/B0005A7M8/ref=cm_cr_arp_d_rvw_txt?ie=UTF8"">Canyon Cross Road High Grip Seats High Roller Barrel</a>&nbsp;I bought this for a friend, but he does not like it.",2025-04-14
HomeDepot,Clothing,5.0,These planes are great.  We have the Brio and the Queen.  The Brio has a nice two-piece box.  There is also the Tamiya version of,2025-04-12
Walmart,Clothing,1.0,Total junk. The magnet is not strong enough to hold it in place. The magnet doesn't hold the ball well.  The plastic is a bit flimsy and the holes are very small.  The ball is not in good shape.,2025-05-06
Walmart,Beauty,5.0,"I have spent some amount of time playing with this walnut sized wonder. It is unexplainably addictive. Maybe it's the rather cool free apps that Ozobot has available for it. Maybe it's the color changing LED lights. Maybe it's the way you calibrate and tune it. The cool factor is just off the charts. I like the Ozobot Dance app the best. You place it on a space and with light flashes it programs this little beast. Then you press play and it signals the robo critter to do it's thing. It will go on top of your tablet or phone spinning, flashing and scooting along.

It must have taken quite some engineering to come up with this. To distill it for you it's sensors can detect lines and colors. It will change what it's doing, program itself and perform all of it's functions that way. Everything you need comes in the box. A couple of things to share with you: Instructions say you need to calibrate and tune it every time before you use it. But you can use it a few times without doing that, it seems if you only wait a few moments before uses it seems to hang on to it's setup. But if it's shut off for more than a few minutes you definitely need to go through the calibration/motors tune process (very easy).

It's not entirely perfect all the time during the tune process. Sometimes it seems to forget what it's doing, you just put it back in it's start position and usually it will be fine. Occasionally you will turn it off then repeat the tuning process. It's not a hassle. The whole experience is fun. Registration is free and gives you access to a lot of extras at no charge. I love this little nugget of technology. I've attached a picture with a sugar packet in comparison to give you an idea of it's true size. Sample for fair review.",2025-02-17
Lowes,Books,4.0,"Great for a Marilyn fest. --- Nice to see Niagra ( neo film noir  in color ) for the first time --- Yeah I know like ""Leave her to heaven"" (also in color) they defy the labeling of Noir which means black in French. ---- Anyway you probably already know about all the individual films. This collection is just all the individual films bundled together.",2025-08-03
Lowes,Home_Kitchen,2.0,It work for about three weeks. The only problem is that it's not really a strong one.,2025-03-11
Lowes,Home_Kitchen,4.0,First Stone novel. Good read. And it was not even a Parker novel. Thoroughly enjoyed it. Been a long time since I read a novel.,2025-03-30
BestBuy,Beauty,5.0,Finally found a can opener that opens cans simply and easy. What more can I say except that it's well made and sturdy? Nuff said.,2025-08-13
BestBuy,Electronics,5.0,I really enjoyed thinking about what it would be like to be a father who is a father and son.  I had to watch it,2025-02-20
Costco,Sports,4.0,"Excellent book! Being a parent is never an easy job, it comes with great responsibility on how we are going to deal with it. This book gives you insights and advises on how to face the challenges of being a parent and on how you are going to deal with your kid's personalities and characters in the right manner for them to become responsible of their own actions. Communication is a lot needed to understand each other, too, it is a give and take relationship. We should learn to listen and connect with them and even become a child if needed, that way we will be able to understand them. Be fun and creative! I highly recommend this book!",2025-02-24
Target,Beauty,5.0,"Seriously, wow! I knew when I read the book that it was a book that would appeal to the older generation. I had to read it before I could even begin to consider it as a book that I would read again in a few",2025-07-30
Lowes,Home_Kitchen,3.0,"UPDATE 8/8/2012: I haven't had the case/cover for 3 months, yet...and it's already showing signs of falling apart. I use the case/cover at home and for one class I'm taking, and after a short 3 months it's surface material is cracking and starting to peel off where the cover folds (multiple locations). I do like the case, but it's going to look very ratty in a few more months. At this rate I'll need a case every 3-4 months and that quickly ads up over a year's time frame (which would be an acceptable amount of time for a single case/cover to survive).

Old Review: Great case for the iPad. This thing goes in and out of my back pack, loose leaf binder, and around campus. It's a simple design-in black-and most folks don't know it's an iPad until I open the cover. I just need to learn and not show off, so this fits the need perfectly. I would have given 5 stars, but I find the cover sometimes moves enough that the unlock screen will come on. In a side-by-side comparison, the Apple screen cover has about twice the hold of this one, but this one protects the whole device and helps my hands grip what would otherwise be the difficult to handle smooth aluminum back.",2025-02-26
Walmart,Clothing,4.0,"Both of my sons really enjoy this toy. The Cyberex is one of the best parts, but it is also really fun that you can lock a bad guy, or Batman, in to the stomach cage of Cyberex, which is also a great place to store Batman when you are done playing!
When Batman rides on his back, you can push on a button under Cyberex's tail that makes a top part pop up and you can push a button to get red discs to shoot out at the 'bad guys"" which is a big hit with both boys, and is easy enough for even my 3 yr old to work on his own. It springs together nicely after you are done shooting the discs out and stands up without falling over or tipping like some toys do. You can push Cyberex's head down and tilt him up or down, which helps with aiming your shooting discs. We like that the Batman symbol is the end of Cyberex's tail, tying in Batman to the dino looking toy! Over all, it is very well built and has become one of the ""go to"" toys in our household for the boys. We recently had a party and some boys, around the age of 5, were very drawn to it immediately! I like the bright blue coloring with the sliver and gold since it makes it look more robotic. Batman is the perfect size! It is a very fun Batman toy and I would definitely recommend it to anyone looking for a gift! We did receive it from Mattel as part of a Rate and Play review but it has been one of the most played with toys we have reviewed!",2025-06-12
Costco,Home_Kitchen,5.0,"Good rip fence. It actually comes with three thumbscrews. The new model Milwaukee saw uses one thumbscrew, & the old model uses two, so all three are included. I have owned both models, and the one with two thumbscrews works better. The new model I have now has the one thumbscrew that goes in at an angle & tends to turn the rip fence at an angle when tightened. It still works good, the rip fence is great, but the saw itself could have been designed better.",2025-07-24
